년,월,국적지역,체류외국인수
2022,03,미등록국가,55
2022,03,미상,1
2022,03,미얀마,26249
2022,03,미이크로네시아,10
2022,03,바누아투,14
2022,03,바레인,30
2022,03,바베이도스,8
2022,03,바하마,5
2022,03,방글라데시,17046
2022,03,베냉,26
2022,03,베네수엘라,219
2022,03,베트남,205447
2022,03,벨기에,603
2022,03,벨로루시,297
2022,03,벨리즈,9
2022,03,보스니아헤르체고비나,9
2022,03,보츠와나,21
2022,03,볼리비아,75
2022,03,부룬디,150
2022,03,부르키나파소,50
2022,03,부베트,1
2022,03,부탄,39
2022,03,불가리아,170
2022,03,브라질,1679
2022,03,브루나이,122
2022,03,사모아,5
2022,03,사우디아라비아,931
2022,03,산마리노,1
2022,03,상투메프린시페,2
2022,03,세네갈,331
2022,03,세르비아,78
2022,03,세르비아몬테네그로,1
2022,03,세이셸,3
2022,03,세인트루시아,3
2022,03,세인트빈센트그레나딘,1
2022,03,세인트크리스토퍼네비스,17
2022,03,소말리아,24
2022,03,솔로몬군도,6
2022,03,수단,289
2022,03,수리남,6
2022,03,스리랑카,20452
2022,03,스발바르,1
2022,03,스웨덴,781
2022,03,스위스,572
2022,03,스페인,1429
2022,03,슬로바크,101
2022,03,슬로베니아,57
2022,03,시리아,1561
2022,03,시에라리온,93
2022,03,싱가포르,1966
2022,03,아랍에미리트연합,594
2022,03,아르메니아,74
2022,03,아르헨티나,472
2022,03,아이슬란드,15
2022,03,아이티,42
2022,03,아일랜드,715
2022,03,아제르바이잔,267
2022,03,아프가니스탄,851
2022,03,안도라,2
2022,03,알바니아,45
2022,03,알제리,473
2022,03,앙골라,142
2022,03,앤티카바부다,1
2022,03,에리트레아,17
2022,03,에스와티니,21
2022,03,에스토니아,60
2022,03,에콰도르,279
2022,03,에티오피아,1080
2022,03,엘살바도르,61
2022,03,영국,6797
2022,03,영국속령지시민,1
2022,03,영국외지민,80
2022,03,영국외지시민,1
2022,03,예멘공화국,1084
2022,03,오만,57
2022,03,오스트레일리아,7698
2022,03,오스트리아,385
2022,03,온두라스,72
2022,03,요르단,544
2022,03,우간다,523
2022,03,우루과이,41
2022,03,우즈베키스탄,66821
2022,03,우크라이나,3917
2022,03,유고슬라비아,1
2022,03,이라크,564
2022,03,이란,1931
2022,03,이스라엘,255
2022,03,이집트,2833
2022,03,이탈리아,1355
2022,03,인도,11884
2022,03,인도네시아,35991
2022,03,일본,29260
2022,03,자메이카,62
2022,03,자이르,7
2022,03,잠비아,102
2022,03,적도기니,10
2022,03,조지아,103
2022,03,중국,225982
2022,03,중앙아프리카공화국,10
2022,03,지부티,5
2022,03,짐바브웨,118
2022,03,차드,11
2022,03,체코,231
2022,03,칠레,295
2022,03,카메룬,868
2022,03,카보베르데,1
2022,03,카자흐스탄,29026
2022,03,카타르,42
2022,03,캄보디아,42059
2022,03,캐나다,23044
2022,03,케냐,445
2022,03,코모로,5
2022,03,코소보,6
2022,03,코스타리카,104
2022,03,코트디부아르,208
2022,03,콜롬비아,557
2022,03,콩고,33
