대륙,국적,성별,A1(외교),A2(공무),B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8,E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),기타
남아메리카주,파나마,남성,9,1,7,1,0,0,0,0,4,0,3,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,3,0,0,0,0,0
남아메리카주,파나마,여성,5,2,7,1,0,2,0,0,15,0,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,2,0,1,0,8,0,0,0,0,1
남아메리카주,온두라스,남성,4,0,0,13,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,1,4,2,3,3,0,0,0,0,0
남아메리카주,온두라스,여성,3,1,0,4,0,2,0,0,8,0,5,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,4,1,2,1,0,10,0,0,0,0,6
남아메리카주,엘살바도르,남성,3,0,5,0,0,0,0,0,4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,2,1,0,1,2,0,0,0,0,1
남아메리카주,엘살바도르,여성,1,0,5,0,0,0,0,0,14,0,5,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,13,0,0,0,0,3
남아메리카주,자메이카,남성,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,2,3,1,0,0,0,5
남아메리카주,자메이카,여성,0,0,7,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,1,1,0,0,0,0,11
남아메리카주,우루과이,남성,3,1,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2
남아메리카주,우루과이,여성,6,0,12,1,0,1,0,0,6,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,10,0,0,0,0,0
남아메리카주,니카라과,남성,2,1,6,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
남아메리카주,니카라과,여성,2,0,9,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,1,0,0,0,1
남아메리카주,쿠바,남성,1,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,1,0,3,0,0,11,0,0,0,0,1
남아메리카주,쿠바,여성,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,2,3,0,0,8,0,0,0,0,0
남아메리카주,도미니카연방,남성,0,0,9,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,1,0,0,0,0
남아메리카주,도미니카연방,여성,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,2,0,0,0,0
남아메리카주,트리니다드토바고,남성,0,2,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
남아메리카주,트리니다드토바고,여성,0,3,3,0,0,1,0,0,4,0,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4
남아메리카주,세인트크리스토퍼네비스,남성,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,2,0,0,0,0,0
남아메리카주,세인트크리스토퍼네비스,여성,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1
남아메리카주,가이아나,남성,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
남아메리카주,가이아나,여성,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
남아메리카주,바하마,남성,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,바하마,여성,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
남아메리카주,바베이도스,남성,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
남아메리카주,바베이도스,여성,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
남아메리카주,앤티카바부다,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
남아메리카주,앤티카바부다,여성,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
남아메리카주,수리남,남성,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,수리남,여성,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트루시아,남성,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
남아메리카주,세인트루시아,여성,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
남아메리카주,벨리즈,남성,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,벨리즈,여성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
남아메리카주,그레나다,남성,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
남아메리카주,그레나다,여성,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남아메리카주,세인트빈센트그레나딘,남성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
남아메리카주,세인트빈센트그레나딘,여성,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유럽주,한국계러시아인,남성,0,1,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,287,30,52,17158,850,13,0,0,5,0,5
유럽주,한국계러시아인,여성,1,0,1,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,33,47,16397,667,84,1,0,2,0,2
유럽주,러시아(연방),남성,123,115,5814,324,1,274,24,1,233,0,176,1,9,30,133,56,26,16,1,52,2,14,90,137,0,5,0,1837,298,495,0,195,144,6813,0,0,1,203
유럽주,러시아(연방),여성,136,102,3764,45,0,193,74,0,1166,0,882,1,3,0,30,3,106,17,13,5,0,0,198,84,0,11,0,2413,500,796,0,534,1935,2447,0,0,1,166
유럽주,프랑스,남성,46,80,1482,5,0,0,13,2,725,0,107,6,6,18,138,117,15,22,6,16,4,6,37,201,0,0,0,22,105,123,153,129,556,1,246,0,0,3
유럽주,프랑스,여성,36,51,1579,1,0,2,5,4,875,0,253,3,3,2,30,6,37,5,21,6,0,1,45,142,0,0,0,5,76,174,160,31,307,4,607,0,0,6
유럽주,영국,남성,56,40,1392,4,0,2,22,0,83,0,15,3,6,18,68,53,20,68,690,18,17,9,24,234,0,0,0,35,129,108,405,208,1022,1,38,0,2,10
