국적,연령대,값,데이터기준일자
독일,80-84세,0,2026-05-31
독일,85-89세,0,2026-05-31
독일,90-94세,1,2026-05-31
라오스,0-4세,0,2026-05-31
라오스,05-09세,0,2026-05-31
라오스,10-14세,0,2026-05-31
라오스,15-19세,0,2026-05-31
라오스,20-24세,1,2026-05-31
라오스,25-29세,2,2026-05-31
라오스,30-34세,1,2026-05-31
라오스,35-39세,0,2026-05-31
라오스,40-44세,1,2026-05-31
라오스,45-49세,0,2026-05-31
라오스,50-54세,0,2026-05-31
라오스,55-59세,0,2026-05-31
라오스,60-64세,0,2026-05-31
라오스,65-69세,0,2026-05-31
라오스,70-74세,0,2026-05-31
라오스,75-79세,0,2026-05-31
라오스,80-84세,0,2026-05-31
라오스,85-89세,0,2026-05-31
라오스,90-94세,0,2026-05-31
라이베리아,0-4세,0,2026-05-31
라이베리아,05-09세,0,2026-05-31
라이베리아,10-14세,0,2026-05-31
라이베리아,15-19세,0,2026-05-31
라이베리아,20-24세,0,2026-05-31
라이베리아,25-29세,1,2026-05-31
라이베리아,30-34세,5,2026-05-31
라이베리아,35-39세,2,2026-05-31
라이베리아,40-44세,2,2026-05-31
라이베리아,45-49세,5,2026-05-31
라이베리아,50-54세,0,2026-05-31
라이베리아,55-59세,0,2026-05-31
라이베리아,60-64세,0,2026-05-31
라이베리아,65-69세,0,2026-05-31
라이베리아,70-74세,0,2026-05-31
라이베리아,75-79세,0,2026-05-31
라이베리아,80-84세,0,2026-05-31
라이베리아,85-89세,0,2026-05-31
라이베리아,90-94세,0,2026-05-31
라트비아,0-4세,0,2026-05-31
라트비아,05-09세,0,2026-05-31
라트비아,10-14세,0,2026-05-31
라트비아,15-19세,0,2026-05-31
라트비아,20-24세,0,2026-05-31
라트비아,25-29세,0,2026-05-31
라트비아,30-34세,0,2026-05-31
라트비아,35-39세,0,2026-05-31
라트비아,40-44세,1,2026-05-31
라트비아,45-49세,0,2026-05-31
라트비아,50-54세,2,2026-05-31
라트비아,55-59세,0,2026-05-31
라트비아,60-64세,0,2026-05-31
라트비아,65-69세,0,2026-05-31
라트비아,70-74세,0,2026-05-31
라트비아,75-79세,0,2026-05-31
라트비아,80-84세,0,2026-05-31
라트비아,85-89세,0,2026-05-31
라트비아,90-94세,0,2026-05-31
러시아(연방),0-4세,11,2026-05-31
러시아(연방),05-09세,11,2026-05-31
러시아(연방),10-14세,14,2026-05-31
러시아(연방),15-19세,7,2026-05-31
러시아(연방),20-24세,25,2026-05-31
러시아(연방),25-29세,53,2026-05-31
러시아(연방),30-34세,46,2026-05-31
러시아(연방),35-39세,37,2026-05-31
러시아(연방),40-44세,43,2026-05-31
러시아(연방),45-49세,18,2026-05-31
러시아(연방),50-54세,16,2026-05-31
러시아(연방),55-59세,4,2026-05-31
러시아(연방),60-64세,2,2026-05-31
러시아(연방),65-69세,1,2026-05-31
러시아(연방),70-74세,0,2026-05-31
러시아(연방),75-79세,1,2026-05-31
러시아(연방),80-84세,0,2026-05-31
러시아(연방),85-89세,0,2026-05-31
러시아(연방),90-94세,0,2026-05-31
루마니아,0-4세,0,2026-05-31
루마니아,05-09세,0,2026-05-31
루마니아,10-14세,0,2026-05-31
루마니아,15-19세,1,2026-05-31
루마니아,20-24세,0,2026-05-31
루마니아,25-29세,0,2026-05-31
루마니아,30-34세,3,2026-05-31
루마니아,35-39세,0,2026-05-31
루마니아,40-44세,0,2026-05-31
루마니아,45-49세,2,2026-05-31
루마니아,50-54세,1,2026-05-31
루마니아,55-59세,6,2026-05-31
루마니아,60-64세,0,2026-05-31
루마니아,65-69세,1,2026-05-31
루마니아,70-74세,1,2026-05-31
루마니아,75-79세,0,2026-05-31
루마니아,80-84세,0,2026-05-31
루마니아,85-89세,0,2026-05-31
루마니아,90-94세,0,2026-05-31
르완다,0-4세,0,2026-05-31
르완다,05-09세,0,2026-05-31
르완다,10-14세,0,2026-05-31
르완다,15-19세,0,2026-05-31
르완다,20-24세,0,2026-05-31
르완다,25-29세,9,2026-05-31
르완다,30-34세,14,2026-05-31
르완다,35-39세,27,2026-05-31
르완다,40-44세,13,2026-05-31
르완다,45-49세,7,2026-05-31
르완다,50-54세,3,2026-05-31
르완다,55-59세,1,2026-05-31
르완다,60-64세,0,2026-05-31
르완다,65-69세,0,2026-05-31
르완다,70-74세,0,2026-05-31
르완다,75-79세,0,2026-05-31
르완다,80-84세,0,2026-05-31
르완다,85-89세,0,2026-05-31
르완다,90-94세,0,2026-05-31
리비아,0-4세,0,2026-05-31
리비아,05-09세,0,2026-05-31
리비아,10-14세,0,2026-05-31
리비아,15-19세,0,2026-05-31
리비아,20-24세,0,2026-05-31
리비아,25-29세,7,2026-05-31
리비아,30-34세,4,2026-05-31
리비아,35-39세,1,2026-05-31
리비아,40-44세,2,2026-05-31
리비아,45-49세,0,2026-05-31
리비아,50-54세,0,2026-05-31
리비아,55-59세,0,2026-05-31
리비아,60-64세,0,2026-05-31
리비아,65-69세,0,2026-05-31
리비아,70-74세,0,2026-05-31
리비아,75-79세,0,2026-05-31
리비아,80-84세,0,2026-05-31
리비아,85-89세,0,2026-05-31
리비아,90-94세,0,2026-05-31
말레이시아,0-4세,17,2026-05-31
말레이시아,05-09세,31,2026-05-31
말레이시아,10-14세,30,2026-05-31
말레이시아,15-19세,4,2026-05-31
말레이시아,20-24세,0,2026-05-31
말레이시아,25-29세,16,2026-05-31
말레이시아,30-34세,15,2026-05-31
말레이시아,35-39세,48,2026-05-31
말레이시아,40-44세,44,2026-05-31
말레이시아,45-49세,27,2026-05-31
말레이시아,50-54세,13,2026-05-31
말레이시아,55-59세,5,2026-05-31
말레이시아,60-64세,4,2026-05-31
말레이시아,65-69세,1,2026-05-31
말레이시아,70-74세,0,2026-05-31
말레이시아,75-79세,0,2026-05-31
말레이시아,80-84세,0,2026-05-31
말레이시아,85-89세,0,2026-05-31
말레이시아,90-94세,0,2026-05-31
말리,0-4세,0,2026-05-31
말리,05-09세,0,2026-05-31
말리,10-14세,0,2026-05-31
말리,15-19세,0,2026-05-31
말리,20-24세,1,2026-05-31
